ENS,JB DAO Treasury,Payout Address,Type of payout,Category,Discord handle,Role,Proposal,First FC,Last FC,Renewal FC,USD Payout Amount
NFT Rewards Audit,V1,0x6052faf32b26edbbcfadb5527654e458fe7c0e35,Onetime,,,,,,,,73800
Peel,V1,https://juicebox.money/p/peel,Recurring,Frontend dev,"aeolian#1010
peri#1000
Wraeth#3096
johnnyD#0418","Maintain frontend for juicebox.money, rinkeby.juicebox.money, and all Juicebox interfaces. Also customer insights, domain management, Juicebox Subgraph.",https://snapshot.org/#/jbdao.eth/proposal/0xf61359425cc4193fc22014dea88a28cb9f59aecde654306becf9b4606023be6b,28,34,35,60000
StudioDAO.eth,V1,0x09907f01d6192192f767deFB01C7Ee10cF82c24c,Onetime,,,,,,,,30000
jango.eth,V2,https://juicebox.money/#/v2/p/55,Recurring,"Documentation, NFT, Onboarding, Smart contract dev, Strategy",jango#0420,"Smart contract dev and fearless leader. Involved in nearly aspect of JB including onboarding, strategy, community.",https://snapshot.org/#/jbdao.eth/proposal/0x341d931bc876c0c58e32ee8969fa8759d06b7c7af790d162738db744b75ae954,33,40,41,21000
drgorilla.eth,V1,https://etherscan.io/address/0x6860f1a0cf179ed93abd3739c7f6c8961a4eea3c,Recurring,"NFT, Smart contract dev",DrGorilla.eth#8862,"Smart contract dev for v2 contracts, treasury extension, veBanny.",https://snapshot.org/#/jbdao.eth/proposal/0x71523c9878ab69ce121ce1f24bed89f8b95a22f40c432159ff2253d63b7aee58,28,34,35,18500
WAGMI Studios,V1,https://juicebox.money/p/wagmistudios,Recurring,"Art, Community, Content creation, Education, NFT, Social Media","Sage#8829
Burtula#2588
Mieos#4661
Zom_Bae#3824","Using animation to tell stories, educate, entertain, and inspire the JB community. veBanny, metaverse collaboration with Lexicon Devils, educational content.",https://snapshot.org/#/jbdao.eth/proposal/0x4c6004d6f661b14e128355a6b4bc7d00d0d9dc3c72663df83930c40da6d2454e,31,38,39,12000
nicholas (dao dev inc.),V1,https://etherscan.io/address/0x428f196c4D754A96642854AC5d9f29a0e6eC707E,Recurring,"Governance, Legal, NFT, Onboarding, Smart contract dev, Social Media, Strategy",nicholas#7777,"Product design + development, NFT integrations, internal + external comms, Solidity dev, partnerships/recruiting, legal + compliance, governance & DAO operations.",https://snapshot.org/#/jbdao.eth/proposal/0x4987d968badec9d7c71075561ab2f810c718ea3246e177304cb9b78254e147f8,33,40,41,8000
0xBA5ED,V1,https://etherscan.io/address/0xb045708e396E20071324C1aed2E4CFB90A0764FE,Recurring,Smart contract dev,0xBA5ED#9353,"Smart contract dev for v2, veBanny, AppleJuice terminal.",https://snapshot.org/#/jbdao.eth/proposal/0xac1aee3dbf931ae12675f632fd7c656644d13c776ed51efe066430e70e3fdbfa,30,35,36,8000
Lexicon Devils,V1,https://juicebox.money/p/lexicondevils,Recurring,Metaverse,"darbytrash.eth#6679
Wackozacco#3822
peacenode.eth#1111
germs.eth#3388
xtine.eth#8065",Metaverse architects building and curating virtual experiences at the Juicebox Lounge and Learning Center including regular events as part of the FORMING series.,https://snapshot.org/#/jbdao.eth/proposal/0xe0cf4cdc64cbcd73fe65db662b8cf476c1da9f4de228e970ebd004d834e1e7fa,29,35,36,6600
filipv.eth,V2,https://etherscan.io/address/0x30670d81e487c80b9edc54370e6eaf943b6eab39,Recurring,"Documentation, Governance, Legal",filipv#0001,"Facilitates gov, docs, treasury management, & many tasks that don’t fit into one category.",https://snapshot.org/#/jbdao.eth/proposal/0xf3177de26a34d7ce3f43a901e893beeed82f7a998a92dcec409e7fbda256cbee,29,35,36,6000
mcsa.eth (0xSTVG),V2,https://etherscan.io/address/0x5bd9c90827ac6391e91a60c5de8b63dcaa48b7aa,Recurring,"Education, Governance, Onboarding, Social Media",0xSTVG.eth (stevie g)#7744,"Onboarding calls, bizdev and partnerships, facilitating gov, JB twitter updates, frontend user testing.",https://snapshot.org/#/jbdao.eth/proposal/0xeba6c7c1a3c7ca2df194a895dd5ae4b92f9773713a8cd80874378c360e060ace,31,37,38,5000
jigglyjams.eth,V2,V2:188,Recurring,"Automation, Governance",jigglyjams#5340,"Development of Nance bot, helping to facilitate the JB governance process through automation.",https://snapshot.org/#/jbdao.eth/proposal/0x60426f51f27798501c568d53f9fb6f4c062d8a7ee44c0b7d786491c3be0d261e,33,36,37,5000
twodam.eth,V2,https://www.juicebox.money/@twodam,Recurring,"Data Analytics, Documentation, Translation",LuckyKoala#1024,"Data visualization wizard. v2 protocol data, Dune dashboards, JuiceTool, bookkeeping automation, DAO health metrics.",https://snapshot.org/#/jbdao.eth/proposal/0xa9f71eba8eac98f3c38c1a91dc78b10004753f3990423b285bd2227ee97e757e,29,34,35,5000
viraz.eth,V1,https://etherscan.io/address/0x2dda8dc2f67f1eb94b250caefac9de16f70c5a51,Recurring,Smart contract dev,Viraz#4331,v2 contracts & veBanny,https://snapshot.org/#/jbdao.eth/proposal/0xc84ceab4e4dec85e6f6787b8ee05ca9f6b04dfb73715bc4a47c1dbbe7d5ed703,27,33,34,4000
Felixander,V1,https://etherscan.io/address/0xa8488938161c9afa127e93fef6d3447051588664,Recurring,"Community, Content creation",Felixander#4905,"Interviews on the JB blog, town hall polls, red rocket banny creator",https://snapshot.org/#/jbdao.eth/proposal/0x1be916406082362f8e5b407d453c4986ab1b926a41aa05d7808d6bbe4175770b,27,33,34,3000
gulan.eth,V1,https://etherscan.io/address/0xF8284136B169213E4c50cE09f3E1D9A9b484BAea,Recurring,Bookkeeping,gulan#4246,"Managing bookkeeping related tsks including master file, config files per FC, and providing guidance to proposal authors to ensure executability.",https://snapshot.org/#/jbdao.eth/proposal/0x884bd37ff063863fa9f50893a998ddbcbbedacac8a784999d088635a45b554dd,28,34,35,2000
brileigh.eth,V1,https://etherscan.io/address/0xfda746f4c3f9f5a02b3e63ed6d0ebbc002d1f788,Recurring,"Bookkeeping, Content creation, Education, Social Media",brileigh.eth#1111,"Producer and co-host of The Juicecast, writer and editor for JB blog, Juicenews newsletter, Ongoing Contributor Payouts table, starting to work on legal & API docs.",https://snapshot.org/#/jbdao.eth/proposal/0xe558d166bb91b3ca0bb20f8ae03c6b317bd99b382a288c79e5f1dccee1fcebfc,27,33,34,1500
matthewbrooks.eth,V1,https://etherscan.io/address/0x334d080349dA9CFa602442968483B761defA5bF7,Recurring,"Bookkeeping, Community, Content creation, Education, Social Media",matthewbrooks.eth#1111,"Producer and co-host of The Juicecast, writer and editor for JB blog, Juicenews newsletter, Ongoing Contributor Payouts table, starting to work on legal & API docs.",https://snapshot.org/#/jbdao.eth/proposal/0xe558d166bb91b3ca0bb20f8ae03c6b317bd99b382a288c79e5f1dccee1fcebfc,27,33,34,1500
zhape.eth,V1,https://etherscan.io/address/0x5706d5ad7a68bf8692bd341234be44ca7bf2f654,Recurring,"Community, Translation",zhape#0046,"Discord mod, English-Chinese translation, CN town halls, help drafting proposals for CN members.",https://snapshot.org/#/jbdao.eth/proposal/0x5cb028aefffdc38ada26a53be9372b29234644fe158d653747237fa45331037d,29,35,36,1500